Date,Price,Open,High,Low,Change %
2017-04-23,1.0895,1.0891,1.0951,1.082,1.58
2017-04-30,1.0995,1.0907,1.1001,1.0875,0.92
2017-05-07,1.0928,1.0999,1.1025,1.0839,-0.61
2017-05-14,1.1204,1.0927,1.1213,1.0921,2.53
2017-05-21,1.1182,1.1202,1.1269,1.1159,-0.2
2017-05-28,1.128,1.1179,1.1286,1.1109,0.88
2017-06-04,1.1192,1.1279,1.1286,1.1166,-0.78
2017-06-11,1.1197,1.1195,1.1296,1.1132,0.04
2017-06-18,1.1192,1.12,1.1215,1.1118,-0.04
2017-06-25,1.1423,1.1201,1.1446,1.1171,2.06
2017-07-02,1.14,1.1421,1.1441,1.1312,-0.2
2017-07-09,1.1467,1.1393,1.149,1.137,0.59
2017-07-16,1.1661,1.1464,1.1683,1.1434,1.69
2017-07-23,1.175,1.166,1.1777,1.1612,0.76
2017-07-30,1.1768,1.1738,1.191,1.1723,0.15
2017-08-06,1.182,1.1768,1.1847,1.1688,0.44
2017-08-13,1.176,1.1807,1.1839,1.1662,-0.51
2017-08-20,1.1924,1.1753,1.1942,1.1731,1.39
2017-08-27,1.1857,1.1925,1.207,1.1823,-0.56
2017-09-03,1.2033,1.1859,1.2093,1.1853,1.48
2017-09-10,1.1941,1.204,1.204,1.1838,-0.76
2017-09-17,1.1952,1.1949,1.2033,1.1861,0.09
2017-09-24,1.1812,1.1953,1.1961,1.1717,-1.17
2017-10-01,1.1733,1.1818,1.1818,1.1668,-0.67
2017-10-08,1.1822,1.1729,1.1881,1.1717,0.76
2017-10-15,1.1783,1.1825,1.1859,1.173,-0.33
2017-10-22,1.1608,1.1773,1.1838,1.1574,-1.49
2017-10-29,1.1607,1.1603,1.1691,1.1594,-0.01
2017-11-05,1.1663,1.161,1.1679,1.1553,0.48
2017-11-12,1.1793,1.1666,1.1861,1.1637,1.11
2017-11-19,1.193,1.1791,1.1945,1.1713,1.16
2017-11-26,1.1889,1.1932,1.1961,1.1809,-0.34
2017-12-03,1.1764,1.1881,1.189,1.173,-1.05
2017-12-10,1.1752,1.1769,1.1863,1.1717,-0.1
2017-12-17,1.1857,1.1755,1.1903,1.1738,0.89
2017-12-24,1.1996,1.1851,1.203,1.1842,1.17
2017-12-31,1.2028,1.2002,1.209,1.1995,0.27
2018-01-07,1.2185,1.2029,1.2189,1.1916,1.31
2018-01-14,1.222,1.2197,1.2323,1.2164,0.29
2018-01-21,1.2419,1.2266,1.2538,1.2213,1.63
2018-01-28,1.246,1.2427,1.2523,1.2335,0.33
2018-02-04,1.2233,1.2457,1.2476,1.2205,-1.82
2018-02-11,1.2404,1.2254,1.2556,1.2234,1.4
2018-02-18,1.2293,1.2409,1.2436,1.226,-0.89
2018-02-25,1.2317,1.2298,1.2356,1.2155,0.2
2018-03-04,1.2305,1.2324,1.2448,1.2269,-0.1
2018-03-11,1.2287,1.2311,1.2414,1.226,-0.15
2018-03-18,1.2351,1.2284,1.2389,1.2239,0.52
2018-03-25,1.2321,1.2348,1.2477,1.2283,-0.24
2018-04-01,1.2281,1.2323,1.2345,1.2214,-0.32
2018-04-08,1.2329,1.2279,1.2397,1.226,0.39
2018-04-15,1.2286,1.2329,1.2414,1.2249,-0.35
2018-04-22,1.2128,1.2289,1.2292,1.2055,-1.29
2018-04-29,1.1958,1.2125,1.214,1.1911,-1.4
2018-05-06,1.1942,1.1953,1.1979,1.1822,-0.13
2018-05-13,1.1775,1.1946,1.1997,1.1749,-1.4
2018-05-20,1.165,1.1762,1.1831,1.1645,-1.06
2018-05-27,1.166,1.1652,1.173,1.1509,0.09
2018-06-03,1.1766,1.1655,1.1841,1.1652,0.91
2018-06-10,1.1607,1.1765,1.1853,1.1543,-1.35
2018-06-17,1.1655,1.1609,1.1676,1.1508,0.41
2018-06-24,1.1683,1.1658,1.1721,1.1526,0.24
2018-07-01,1.1745,1.1651,1.1768,1.159,0.53
2018-07-08,1.1685,1.1746,1.1791,1.1611,-0.51
2018-07-15,1.1718,1.1677,1.1746,1.1573,0.28
2018-07-22,1.1656,1.173,1.1751,1.162,-0.53
2018-07-29,1.1567,1.1659,1.1746,1.1559,-0.76
2018-08-05,1.141,1.1573,1.1629,1.1386,-1.36
2018-08-12,1.1437,1.1388,1.1446,1.1299,0.24
2018-08-19,1.1621,1.1442,1.164,1.1394,1.61
2018-08-26,1.1599,1.1631,1.1734,1.1584,-0.19
2018-09-02,1.1551,1.1596,1.166,1.1529,-0.41
2018-09-09,1.1628,1.1559,1.1723,1.1525,0.67
2018-09-16,1.1749,1.1625,1.1804,1.1617,1.04
2018-09-23,1.1608,1.175,1.1816,1.1568,-1.2
2018-09-30,1.1523,1.1608,1.1629,1.1463,-0.73
2018-10-07,1.1562,1.152,1.1611,1.143,0.34
2018-10-14,1.1513,1.1559,1.1623,1.1432,-0.42
2018-10-21,1.1401,1.1507,1.1551,1.1334,-0.97
2018-10-28,1.1385,1.1407,1.1457,1.1301,-0.14
2018-11-04,1.1334,1.1392,1.1501,1.1315,-0.45
2018-11-11,1.1418,1.1331,1.1422,1.1214,0.74
2018-11-18,1.134,1.1403,1.1473,1.1326,-0.68
2018-11-25,1.1315,1.1342,1.1402,1.1265,-0.22
2018-12-02,1.1376,1.1314,1.1424,1.131,0.54
2018-12-09,1.1307,1.1402,1.1444,1.1268,-0.61
2018-12-16,1.1367,1.1307,1.1487,1.1299,0.53
2018-12-23,1.1436,1.1371,1.1478,1.1342,0.61
2018-12-30,1.1393,1.1443,1.1498,1.1308,-0.38
2019-01-06,1.1467,1.1392,1.1571,1.1392,0.65
2019-01-13,1.1361,1.147,1.1493,1.1351,-0.92
2019-01-20,1.1412,1.137,1.1421,1.1288,0.45
2019-01-27,1.1454,1.1407,1.1517,1.1389,0.37
2019-02-03,1.1328,1.1455,1.1466,1.1319,-1.1
2019-02-10,1.1293,1.1328,1.1345,1.1233,-0.31
2019-02-17,1.1341,1.1286,1.1373,1.1274,0.43
2019-02-24,1.1374,1.1337,1.1422,1.1323,0.29
2019-03-03,1.1238,1.1379,1.1396,1.1176,-1.2
2019-03-10,1.1325,1.1238,1.1346,1.1221,0.77
2019-03-17,1.1313,1.1322,1.1448,1.1271,-0.11
